dataset,representation,operation,accuracy,convolution_algorithm,classification_algorithm
CharacterTrajectories,MTF,element_wise,0.8530640668523677,Rocket,Ridge
CharacterTrajectories,MTF,element_wise,0.807799442896936,MiniRocket,Ridge
CharacterTrajectories,GASF,sum,0.91016713091922,,Ridge
CharacterTrajectories,GASF,sum,0.9547353760445684,Rocket,Ridge
CharacterTrajectories,GASF,sum,0.9387186629526464,MiniRocket,Ridge
CharacterTrajectories,GASF,subtraction,0.6023676880222841,,Ridge
CharacterTrajectories,GASF,subtraction,0.6497214484679665,Rocket,Ridge
CharacterTrajectories,GASF,subtraction,0.5870473537604457,MiniRocket,Ridge
CharacterTrajectories,GASF,dot_product,0.878133704735376,,Ridge
CharacterTrajectories,GASF,dot_product,0.9115598885793872,Rocket,Ridge
CharacterTrajectories,GASF,dot_product,0.8983286908077994,MiniRocket,Ridge
CharacterTrajectories,GASF,element_wise,0.9275766016713092,,Ridge
CharacterTrajectories,GASF,element_wise,0.951949860724234,Rocket,Ridge
CharacterTrajectories,GASF,element_wise,0.9275766016713092,MiniRocket,Ridge
CharacterTrajectories,GADF,sum,0.9052924791086352,,Ridge
CharacterTrajectories,GADF,sum,0.9658774373259053,Rocket,Ridge
CharacterTrajectories,GADF,sum,0.9547353760445684,MiniRocket,Ridge
CharacterTrajectories,GADF,subtraction,0.6030640668523677,,Ridge
CharacterTrajectories,GADF,subtraction,0.7284122562674095,Rocket,Ridge
CharacterTrajectories,GADF,subtraction,0.6963788300835655,MiniRocket,Ridge
CharacterTrajectories,GADF,dot_product,0.7903899721448467,,Ridge
CharacterTrajectories,GADF,dot_product,0.9463788300835656,Rocket,Ridge
CharacterTrajectories,GADF,dot_product,0.9435933147632312,MiniRocket,Ridge
CharacterTrajectories,GADF,element_wise,0.9052924791086352,,Ridge
CharacterTrajectories,GADF,element_wise,0.9561281337047354,Rocket,Ridge
CharacterTrajectories,GADF,element_wise,0.9352367688022284,MiniRocket,Ridge
CharacterTrajectories,FIRTS,sum,0.9025069637883008,,Ridge
CharacterTrajectories,FIRTS,sum,0.964484679665738,Rocket,Ridge
CharacterTrajectories,FIRTS,sum,0.9540389972144848,MiniRocket,Ridge
CharacterTrajectories,FIRTS,subtraction,0.5717270194986073,,Ridge
CharacterTrajectories,FIRTS,subtraction,0.6079387186629527,Rocket,Ridge
CharacterTrajectories,FIRTS,subtraction,0.5675487465181058,MiniRocket,Ridge
CharacterTrajectories,FIRTS,dot_product,0.8802228412256268,,Ridge
CharacterTrajectories,FIRTS,dot_product,0.9373259052924792,Rocket,Ridge
CharacterTrajectories,FIRTS,dot_product,0.9310584958217272,MiniRocket,Ridge
CharacterTrajectories,FIRTS,element_wise,0.8948467966573816,,Ridge
CharacterTrajectories,FIRTS,element_wise,0.947075208913649,Rocket,Ridge
CharacterTrajectories,FIRTS,element_wise,0.9366295264623956,MiniRocket,Ridge
CharacterTrajectories,CWT,sum,0.7694986072423399,,Ridge
CharacterTrajectories,CWT,sum,0.9164345403899722,Rocket,Ridge
